source	path	line	matched_categories	excerpt
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	34	trace-or-step	Transition<AbstractSystemState> transitions = new Transition<AbstractSystemState>();
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	37	priority	Set<Integer> actorsIds = base.getActorsIds(); int priority = getPriority(state, actorsIds); boolean firstRound = true;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	43	priority	if(!executeStatementSOSRule.isEnabled(baseActorState) || baseActorState.getPriority() > priority) continue;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	51	trace-or-step	AbstractActorState actorState = state.getActorState(actorId); Transition<AbstractActorState> executionResult = executeStatementSOSRule.applyRule(baseActorState, actorState);
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	81	priority	private int getPriority(AbstractSystemState state, Set<Integer> actorsIds) { int priority = Integer.MAX_VALUE; for(Integer actorId : actorsIds) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	85	priority	if(executeStatementSOSRule.isEnabled(actorState)) priority = Math.min(priority, actorState.getPriority()); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	87	priority	} return priority; }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	90	trace-or-step	private boolean isSendMessageTransition(Transition<AbstractActorState> transition) { List<Action> actions = transition.getDestinationsActions();
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	91	trace-or-step	private boolean isSendMessageTransition(Transition<AbstractActorState> transition) { List<Action> actions = transition.getDestinationsActions(); if(actions.size() != 1)
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	94	trace-or-step	return false; return (transition.getDestinationsActions().get(0) instanceof MessageAction); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelNetworkDeliveryRule.java	12	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.RuleIsDisabledException; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.beans.factory.annotation.Autowired;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelNetworkDeliveryRule.java	27	trace-or-step	@Override public Transition<AbstractSystemState> applyRule(AbstractSystemState base, AbstractSystemState state, Object... additional) throws RuleIsDisabledException {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelNetworkDeliveryRule.java	32	trace-or-step	Transition<AbstractNetworkState> deliveredMessages = networkLevelDeliverMessage.applyRule(base.getNetworkState(), state.getNetworkState());
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelNetworkDeliveryRule.java	37	trace-or-step	Transition<AbstractSystemState> transitions = new Transition<AbstractSystemState>();
