path	line	categories	source_line	context
frontend/java-bridge/RebecaStoreJsonExporter.java	323		"""main actor"""	"String actorName = requireName( actor.getName(), ""main actor"" ); if (actor.getType() == null) {"
frontend/java-bridge/RebecaStoreJsonExporter.java	328		"""main actor without a class type"""	"if (actor.getType() == null) { throw unsupported( ""main actor without a class type"" ); }"
frontend/java-bridge/RebecaStoreJsonExporter.java	335		"""main actor class"""	"String actorClass = requireName( actor.getType().getTypeName(), ""main actor class"" ); if (!className.equals(actorClass)) {"
frontend/java-bridge/RebecaStoreJsonExporter.java	340		"""the main actor must instantiate the sole reactive class"""	"if (!className.equals(actorClass)) { throw unsupported( ""the main actor must instantiate the sole reactive class"" ); }"
frontend/java-bridge/RebecaStoreJsonExporter.java	396	annotation-access	reactiveClass.getAnnotations(),	"ReactiveClassDeclaration reactiveClass ) { requireEmpty( reactiveClass.getAnnotations(), ""reactive-class annotations"" );"
frontend/java-bridge/RebecaStoreJsonExporter.java	397	annotation-access	"""reactive-class annotations"""	") { requireEmpty( reactiveClass.getAnnotations(), ""reactive-class annotations"" ); requireEmpty("
frontend/java-bridge/RebecaV0JsonExporter.java	36		import org.springframework.context.annotation.AnnotationConfigApplicationContext;	import org.rebecalang.compiler.utils.CompilerExtension; import org.rebecalang.compiler.utils.CoreVersion; import org.rebecalang.compiler.utils.ExceptionContainer; import org.springframework.context.annotation.AnnotationConfigApplicationContext; /** * Trusted adapter from the existing Timed Rebeca parser AST to the
frontend/java-bridge/RebecaV0JsonExporter.java	72		AnnotationConfigApplicationContext context =	} try ( AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext( CompilerConfig.class )
frontend/java-bridge/RebecaV0JsonExporter.java	73		new AnnotationConfigApplicationContext(	try ( AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext( CompilerConfig.class ) ) {
frontend/java-bridge/RebecaV0JsonExporter.java	239	annotation-access	constructor.getAnnotations(),	"); requireEmpty( constructor.getAnnotations(), ""constructor annotations"" );"
